rir,hostBits,rows,sharePct
afrinic,0,1815,20.56
afrinic,1,3,0.03
afrinic,2,2673,30.28
afrinic,3,2417,27.38
afrinic,4,291,3.3
afrinic,5,105,1.19
afrinic,6,53,0.6
afrinic,7,23,0.26
afrinic,8,1197,13.56
afrinic,9,55,0.62
afrinic,10,65,0.74
afrinic,11,23,0.26
afrinic,12,11,0.12
afrinic,13,1,0.01
afrinic,14,3,0.03
afrinic,67,2,0.02
afrinic,72,4,0.05
afrinic,80,8,0.09
afrinic,84,2,0.02
afrinic,88,1,0.01
afrinic,92,39,0.44
afrinic,94,8,0.09
afrinic,96,29,0.33
apnic,0,6158,29.55
apnic,1,874,4.19
apnic,2,334,1.6
apnic,3,276,1.32
apnic,4,229,1.1
apnic,5,186,0.89
apnic,6,118,0.57
apnic,7,165,0.79
apnic,8,5796,27.81
apnic,9,745,3.58
apnic,10,429,2.06
apnic,11,177,0.85
apnic,12,199,0.95
apnic,13,173,0.83
apnic,14,113,0.54
apnic,15,50,0.24
apnic,16,17,0.08
apnic,64,715,3.43
apnic,67,12,0.06
apnic,72,71,0.34
apnic,73,2,0.01
apnic,74,1,0.0
apnic,75,11,0.05
apnic,76,88,0.42
apnic,78,3,0.01
apnic,80,2049,9.83
apnic,81,33,0.16
apnic,82,15,0.07
apnic,83,11,0.05
apnic,84,871,4.18
apnic,85,57,0.27
apnic,86,38,0.18
apnic,87,6,0.03
apnic,88,447,2.15
apnic,89,63,0.3
apnic,90,12,0.06
apnic,91,12,0.06
apnic,92,108,0.52
apnic,93,4,0.02
apnic,94,42,0.2
apnic,95,43,0.21
apnic,96,76,0.36
apnic,97,8,0.04
apnic,100,1,0.0
arin,0,105264,49.32
arin,1,8502,3.98
arin,2,20748,9.72
arin,3,15995,7.49
arin,4,5241,2.46
arin,5,4715,2.21
arin,6,3072,1.44
arin,7,2560,1.2
arin,8,29642,13.89
arin,9,3774,1.77
arin,10,2582,1.21
arin,11,1880,0.88
arin,12,869,0.41
arin,13,359,0.17
arin,14,133,0.06
arin,15,53,0.02
arin,16,121,0.06
arin,17,33,0.02
arin,18,7,0.0
arin,19,4,0.0
arin,20,3,0.0
arin,21,3,0.0
arin,22,3,0.0
arin,23,3,0.0
arin,24,2,0.0
arin,25,2,0.0
arin,26,2,0.0
arin,27,2,0.0
arin,28,2,0.0
arin,29,2,0.0
arin,30,2,0.0
arin,31,2,0.0
arin,32,4,0.0
arin,33,2,0.0
arin,34,2,0.0
arin,35,2,0.0
arin,36,2,0.0
arin,37,2,0.0
arin,38,2,0.0
arin,39,2,0.0
arin,40,2,0.0
arin,41,2,0.0
arin,42,2,0.0
arin,43,2,0.0
arin,44,2,0.0
arin,45,2,0.0
arin,46,2,0.0
arin,47,2,0.0
arin,48,6,0.0
arin,49,2,0.0
arin,50,2,0.0
arin,51,2,0.0
arin,52,2,0.0
arin,53,2,0.0
arin,54,2,0.0
arin,55,2,0.0
arin,56,2,0.0
arin,57,2,0.0
arin,58,2,0.0
arin,59,2,0.0
arin,60,2,0.0
arin,61,2,0.0
arin,62,2,0.0
arin,63,2,0.0
arin,64,5333,2.5
arin,65,15,0.01
arin,66,23,0.01
arin,67,2,0.0
arin,68,46,0.02
arin,69,1,0.0
arin,70,4,0.0
arin,71,9,0.0
arin,72,384,0.18
arin,73,51,0.02
arin,74,113,0.05
arin,75,2,0.0
arin,76,198,0.09
arin,77,8,0.0
arin,78,22,0.01
arin,79,8,0.0
arin,80,882,0.41
arin,81,48,0.02
arin,82,26,0.01
arin,83,2,0.0
arin,84,252,0.12
arin,85,3,0.0
arin,86,76,0.04
arin,87,1,0.0
arin,88,106,0.05
arin,89,13,0.01
arin,90,15,0.01
arin,91,4,0.0
arin,92,111,0.05
arin,93,1,0.0
arin,95,3,0.0
arin,96,27,0.01
arin,97,1,0.0
arin,100,2,0.0
lacnic,0,18,0.43
lacnic,1,8,0.19
lacnic,2,144,3.44
lacnic,3,42,1.0
lacnic,4,25,0.6
lacnic,5,23,0.55
lacnic,6,7,0.17
lacnic,7,5,0.12
lacnic,8,3471,82.92
lacnic,9,99,2.37
lacnic,10,61,1.46
lacnic,11,22,0.53
lacnic,12,30,0.72
lacnic,13,12,0.29
lacnic,14,5,0.12
lacnic,15,1,0.02
lacnic,64,6,0.14
lacnic,78,28,0.67
lacnic,79,10,0.24
lacnic,80,53,1.27
lacnic,82,59,1.41
lacnic,83,1,0.02
lacnic,84,3,0.07
lacnic,85,10,0.24
lacnic,88,4,0.1
lacnic,89,2,0.05
lacnic,93,1,0.02
lacnic,94,11,0.26
lacnic,96,25,0.6
ripe,0,88374,24.04
ripe,1,3302,0.9
ripe,2,9702,2.64
ripe,3,49263,13.4
ripe,4,8411,2.29
ripe,5,3232,0.88
ripe,6,1815,0.49
ripe,7,862,0.23
ripe,8,30305,8.24
ripe,9,2256,0.61
ripe,10,1860,0.51
ripe,11,624,0.17
ripe,12,3370,0.92
ripe,13,402,0.11
ripe,14,90,0.02
ripe,15,40,0.01
ripe,16,39,0.01
ripe,17,13,0.0
ripe,18,10,0.0
ripe,19,3,0.0
ripe,20,4,0.0
ripe,32,7,0.0
ripe,48,9,0.0
ripe,64,25087,6.82
ripe,65,58,0.02
ripe,66,9,0.0
ripe,67,4,0.0
ripe,68,3012,0.82
ripe,69,2,0.0
ripe,72,9902,2.69
ripe,73,800,0.22
ripe,74,63,0.02
ripe,75,11,0.0
ripe,76,7611,2.07
ripe,77,7,0.0
ripe,78,14,0.0
ripe,79,10,0.0
ripe,80,26467,7.2
ripe,81,164,0.04
ripe,82,314,0.09
ripe,83,79645,21.67
ripe,84,847,0.23
ripe,85,41,0.01
ripe,86,23,0.01
ripe,87,60,0.02
ripe,88,3679,1.0
ripe,89,458,0.12
ripe,90,23,0.01
ripe,91,2585,0.7
ripe,92,1156,0.31
ripe,93,7,0.0
ripe,94,21,0.01
ripe,95,9,0.0
ripe,96,1074,0.29
ripe,97,10,0.0
ripe,98,36,0.01
ripe,99,396,0.11
ripe,109,1,0.0
